År,Län,IEPC,SCA,IE
"2016",Stockholms län,6.9,1051,15.61
"2016",Uppsala län,20.3,517,7.35
"2016",Södermanlands län,26.9,417,7.74
"2016",Östergötlands län,31.5,785,14.25
"2016",Jönköpings län,21.2,489,7.49
"2016",Kronobergs län,19.8,268,3.85
"2016",Kalmar län,20,363,4.86
"2016",Gotlands län,39.3,242,2.28
"2016",Blekinge län,20.4,209,3.24
"2016",Skåne län,15.2,1290,20.18
"2016",Hallands län,40.8,813,13.07
"2016",Västra Götalands län,11,1645,18.34
"2016",Värmlands län,9.2,242,2.56
"2016",Örebro län,11.9,322,3.51
"2016",Västmanlands län,23,364,6.16
"2016",Dalarnas län,9,296,2.56
"2016",Gävleborgs län,4.4,144,1.26
"2016",Västernorrlands län,9.7,186,2.38
"2016",Jämtlands län,14.4,252,1.85
"2016",Västerbottens län,3,68,0.79
"2016",Norrbottens län,2.8,43,0.7
"2017",Stockholms län,12.3,1653,28.31
"2017",Uppsala län,33.1,860,12.2
"2017",Södermanlands län,47.2,664,13.75
"2017",Östergötlands län,43.3,1146,19.83
"2017",Jönköpings län,32.4,773,11.57
"2017",Kronobergs län,34.3,465,6.77
"2017",Kalmar län,35.6,544,8.67
"2017",Gotlands län,65.1,382,3.82
"2017",Blekinge län,31.5,304,5.02
"2017",Skåne län,25,2051,33.62
"2017",Hallands län,57,1111,18.5
"2017",Västra Götalands län,17.5,2416,29.73
"2017",Värmlands län,18.7,431,5.24
"2017",Örebro län,19.6,468,5.87
"2017",Västmanlands län,37.7,527,10.22
"2017",Dalarnas län,13.1,415,3.75
"2017",Gävleborgs län,9,240,2.56
"2017",Västernorrlands län,14.1,254,3.47
"2017",Jämtlands län,33,384,4.28
"2017",Västerbottens län,6.3,137,1.7
"2017",Norrbottens län,8.4,73,2.11
"2018",Stockholms län,21.8,2940,51.22
"2018",Uppsala län,59.3,1396,22.33
"2018",Södermanlands län,75.7,1124,22.3
"2018",Östergötlands län,67.6,1781,31.2
"2018",Jönköpings län,57.4,1362,20.72
"2018",Kronobergs län,52.8,733,10.56
"2018",Kalmar län,57,838,13.96
"2018",Gotlands län,95.8,553,5.68
"2018",Blekinge län,47.7,527,7.62
"2018",Skåne län,45.8,3577,62.35
"2018",Hallands län,89.4,1718,29.44
"2018",Västra Götalands län,36.5,4190,62.49
"2018",Värmlands län,35.9,796,10.1
"2018",Örebro län,32.3,708,9.77
"2018",Västmanlands län,58.3,796,15.98
"2018",Dalarnas län,26.5,705,7.6
"2018",Gävleborgs län,19.6,441,5.62
"2018",Västernorrlands län,32.2,372,7.91
"2018",Jämtlands län,53.6,549,6.99
"2018",Västerbottens län,12.5,248,3.38
"2018",Norrbottens län,15.4,132,3.85
"2019",Stockholms län,35,5310,83.3
"2019",Uppsala län,94.5,2301,36.25
"2019",Södermanlands län,107.2,1823,31.89
"2019",Östergötlands län,110,2941,51.21
"2019",Jönköpings län,101,2229,36.74
"2019",Kronobergs län,86.7,1269,17.46
"2019",Kalmar län,99.8,1522,24.49
"2019",Gotlands län,154.8,825,9.24
"2019",Blekinge län,75.4,880,12.04
"2019",Skåne län,82,6516,112.97
"2019",Hallands län,129.7,2746,43.31
"2019",Västra Götalands län,66.8,7433,115.25
"2019",Värmlands län,63.2,1356,17.86
"2019",Örebro län,60.4,1238,18.42
"2019",Västmanlands län,97,1345,26.74
"2019",Dalarnas län,48.9,1185,14.08
"2019",Gävleborgs län,36.8,861,10.57
"2019",Västernorrlands län,42,636,10.31
"2019",Jämtlands län,111.6,830,14.59
"2019",Västerbottens län,23.4,490,6.37
"2019",Norrbottens län,19.8,208,4.96
"2020",Stockholms län,52.1,8143,124.69
"2020",Uppsala län,132.9,3335,51.63
"2020",Södermanlands län,200.6,2848,60.07
"2020",Östergötlands län,179,4210,83.63
"2020",Jönköpings län,171.3,3276,62.51
"2020",Kronobergs län,126.3,1835,25.55
"2020",Kalmar län,153.7,2472,37.8
"2020",Gotlands län,199.4,1040,11.99
"2020",Blekinge län,130.1,1403,20.69
"2020",Skåne län,118.6,9376,164.77
"2020",Hallands län,181.5,3805,61.11
"2020",Västra Götalands län,108.3,11378,187.76
"2020",Värmlands län,101.7,1989,28.32
"2020",Örebro län,102.8,2027,31.41
"2020",Västmanlands län,137.1,2037,38
"2020",Dalarnas län,81.9,1863,23.55
"2020",Gävleborgs län,71.8,1437,20.64
"2020",Västernorrlands län,65.9,1029,16.12
"2020",Jämtlands län,160.9,1197,21.11
"2020",Västerbottens län,40,766,10.94
"2020",Norrbottens län,27.8,353,6.95
